Year;Month;Day;Observer;Location;Site;Transect;Quad;Macro Height (cm);Turf Height (mm)
2016;July;25;MM;St Maarten;Frenchman Reef;3;1;0.5;0
2016;July;25;MM;St Maarten;Frenchman Reef;3;1;1;0
2016;July;25;MM;St Maarten;Frenchman Reef;3;2;1;0
2016;July;25;MM;St Maarten;Frenchman Reef;3;2;2;0
2016;July;25;MM;St Maarten;Frenchman Reef;3;2;2.5;0
2016;July;25;MM;St Maarten;Frenchman Reef;3;2;0.3;0
2016;July;25;MM;St Maarten;Frenchman Reef;3;3;1;0
2016;July;25;MM;St Maarten;Frenchman Reef;3;3;2;0
2016;July;25;MM;St Maarten;Frenchman Reef;3;3;1;0
2016;July;25;MM;St Maarten;Frenchman Reef;3;3;0.5;0
2016;July;25;MM;St Maarten;Frenchman Reef;3;4;1;0
2016;July;25;MM;St Maarten;Frenchman Reef;3;4;1.5;0
2016;July;25;MM;St Maarten;Frenchman Reef;3;4;0.5;10
2016;July;25;MM;St Maarten;Frenchman Reef;3;4;3;0
2016;July;25;MM;St Maarten;Frenchman Reef;3;5;2;0
2016;July;25;MM;St Maarten;Frenchman Reef;3;5;1;0
2016;July;25;MM;St Maarten;Frenchman Reef;3;5;0;0
2016;July;25;MM;St Maarten;Frenchman Reef;3;5;3;0
2016;July;27;MM;St Maarten;Mikes Mazes;1;1;0;1
2016;July;27;MM;St Maarten;Mikes Mazes;1;1;0.5;1
2016;July;27;MM;St Maarten;Mikes Mazes;1;1;0.5;0
2016;July;27;MM;St Maarten;Mikes Mazes;1;1;0;0
2016;July;27;MM;St Maarten;Mikes Mazes;1;2;1;1
2016;July;27;MM;St Maarten;Mikes Mazes;1;2;0.5;0
2016;July;27;MM;St Maarten;Mikes Mazes;1;2;1;0
2016;July;27;MM;St Maarten;Mikes Mazes;1;2;1;0
2016;July;27;MM;St Maarten;Mikes Mazes;1;3;2;5
2016;July;27;MM;St Maarten;Mikes Mazes;1;3;1;2
2016;July;27;MM;St Maarten;Mikes Mazes;1;3;1;0
2016;July;27;MM;St Maarten;Mikes Mazes;1;3;0;0
2016;July;27;MM;St Maarten;Mikes Mazes;1;4;1;0
2016;July;27;MM;St Maarten;Mikes Mazes;1;4;1;0
2016;July;27;MM;St Maarten;Mikes Mazes;1;4;1;0
2016;July;27;MM;St Maarten;Mikes Mazes;1;4;6;0
2016;July;27;MM;St Maarten;Mikes Mazes;1;5;0;0
2016;July;27;MM;St Maarten;Mikes Mazes;1;5;0;0
2016;July;27;MM;St Maarten;Mikes Mazes;1;5;0;0
2016;July;27;MM;St Maarten;Mikes Mazes;1;5;0;0
2016;July;27;MM;St Maarten;Mikes Mazes;2;1;0;1
2016;July;27;MM;St Maarten;Mikes Mazes;2;1;0.5;0
2016;July;27;MM;St Maarten;Mikes Mazes;2;1;0.5;0
2016;July;27;MM;St Maarten;Mikes Mazes;2;1;0;0
2016;July;27;MM;St Maarten;Mikes Mazes;2;2;0.5;0
2016;July;27;MM;St Maarten;Mikes Mazes;2;2;0;0
2016;July;27;MM;St Maarten;Mikes Mazes;2;2;0.5;0
2016;July;27;MM;St Maarten;Mikes Mazes;2;2;0;2
2016;July;27;MM;St Maarten;Mikes Mazes;2;3;2;1
2016;July;27;MM;St Maarten;Mikes Mazes;2;3;1;1
2016;July;27;MM;St Maarten;Mikes Mazes;2;3;0;0
2016;July;27;MM;St Maarten;Mikes Mazes;2;3;0;0
2016;July;27;MM;St Maarten;Mikes Mazes;2;4;0.5;2
2016;July;27;MM;St Maarten;Mikes Mazes;2;4;0;0
2016;July;27;MM;St Maarten;Mikes Mazes;2;4;0;0
2016;July;27;MM;St Maarten;Mikes Mazes;2;4;0;0
2016;July;27;MM;St Maarten;Mikes Mazes;2;5;0.5;0
2016;July;27;MM;St Maarten;Mikes Mazes;2;5;1;0
2016;July;27;MM;St Maarten;Mikes Mazes;2;5;0;0
2016;July;27;MM;St Maarten;Mikes Mazes;2;5;0;0
2016;July;27;MM;St Maarten;Mikes Mazes;3;1;1;0
2016;July;27;MM;St Maarten;Mikes Mazes;3;1;0.5;0
2016;July;27;MM;St Maarten;Mikes Mazes;3;1;0.5;0
2016;July;27;MM;St Maarten;Mikes Mazes;3;1;0.5;0
2016;July;27;MM;St Maarten;Mikes Mazes;3;2;1;0
2016;July;27;MM;St Maarten;Mikes Mazes;3;2;2;0
2016;July;27;MM;St Maarten;Mikes Mazes;3;2;1;0
2016;July;27;MM;St Maarten;Mikes Mazes;3;2;0;0
2016;July;27;MM;St Maarten;Mikes Mazes;3;3;0;0
2016;July;27;MM;St Maarten;Mikes Mazes;3;3;2;0
2016;July;27;MM;St Maarten;Mikes Mazes;3;3;0.5;3
2016;July;27;MM;St Maarten;Mikes Mazes;3;3;1;0
2016;July;27;MM;St Maarten;Mikes Mazes;3;4;1;1
2016;July;27;MM;St Maarten;Mikes Mazes;3;4;0;0
2016;July;27;MM;St Maarten;Mikes Mazes;3;4;1;5
2016;July;27;MM;St Maarten;Mikes Mazes;3;4;0;1
2016;July;27;MM;St Maarten;Mikes Mazes;3;5;0;3
2016;July;27;MM;St Maarten;Mikes Mazes;3;5;0.5;2
2016;July;27;MM;St Maarten;Mikes Mazes;3;5;2;2
2016;July;27;MM;St Maarten;Mikes Mazes;3;5;1;4
2016;July;28;MM;St Maarten;Proselyte Reef;1;1;1;0
2016;July;28;MM;St Maarten;Proselyte Reef;1;1;0.5;3
2016;July;28;MM;St Maarten;Proselyte Reef;1;1;1;0
2016;July;28;MM;St Maarten;Proselyte Reef;1;1;0.5;0
2016;July;28;MM;St Maarten;Proselyte Reef;1;2;1;1
2016;July;28;MM;St Maarten;Proselyte Reef;1;2;0.5;2
2016;July;28;MM;St Maarten;Proselyte Reef;1;2;2.5;0
2016;July;28;MM;St Maarten;Proselyte Reef;1;2;0;0
2016;July;28;MM;St Maarten;Proselyte Reef;1;3;0.5;0
2016;July;28;MM;St Maarten;Proselyte Reef;1;3;0.5;0
2016;July;28;MM;St Maarten;Proselyte Reef;1;3;2;0
2016;July;28;MM;St Maarten;Proselyte Reef;1;3;1;0
2016;July;28;MM;St Maarten;Proselyte Reef;1;4;2;0
2016;July;28;MM;St Maarten;Proselyte Reef;1;4;0.5;10
2016;July;28;MM;St Maarten;Proselyte Reef;1;4;1;0
2016;July;28;MM;St Maarten;Proselyte Reef;1;4;3;0
2016;July;28;MM;St Maarten;Proselyte Reef;1;5;1;3
2016;July;28;MM;St Maarten;Proselyte Reef;1;5;0.5;0
2016;July;28;MM;St Maarten;Proselyte Reef;1;5;0.5;5
2016;July;28;MM;St Maarten;Proselyte Reef;1;5;0;0
2016;July;28;MM;St Maarten;Proselyte Reef;2;1;0;0
2016;July;28;MM;St Maarten;Proselyte Reef;2;1;0.5;0
2016;July;28;MM;St Maarten;Proselyte Reef;2;1;0;0
2016;July;28;MM;St Maarten;Proselyte Reef;2;1;3;0
2016;July;28;MM;St Maarten;Proselyte Reef;2;2;0;10
2016;July;28;MM;St Maarten;Proselyte Reef;2;2;0;3
2016;July;28;MM;St Maarten;Proselyte Reef;2;2;0;2
2016;July;28;MM;St Maarten;Proselyte Reef;2;2;0;0
2016;July;28;MM;St Maarten;Proselyte Reef;2;3;0.5;0
2016;July;28;MM;St Maarten;Proselyte Reef;2;3;3;3
2016;July;28;MM;St Maarten;Proselyte Reef;2;3;1.5;15
2016;July;28;MM;St Maarten;Proselyte Reef;2;3;0;3
2016;July;28;MM;St Maarten;Proselyte Reef;2;4;0.5;0
2016;July;28;MM;St Maarten;Proselyte Reef;2;4;0;0
2016;July;28;MM;St Maarten;Proselyte Reef;2;4;0;2
2016;July;28;MM;St Maarten;Proselyte Reef;2;4;0;20
2016;July;28;MM;St Maarten;Proselyte Reef;2;5;0;2
2016;July;28;MM;St Maarten;Proselyte Reef;2;5;0;0
2016;July;28;MM;St Maarten;Proselyte Reef;2;5;0;2
2016;July;28;MM;St Maarten;Proselyte Reef;2;5;0;10
2016;July;28;MM;St Maarten;Proselyte Reef;3;1;1;3
2016;July;28;MM;St Maarten;Proselyte Reef;3;1;1;1.5
2016;July;28;MM;St Maarten;Proselyte Reef;3;1;0;2
2016;July;28;MM;St Maarten;Proselyte Reef;3;1;0.5;1
2016;July;28;MM;St Maarten;Proselyte Reef;3;2;0.5;0
2016;July;28;MM;St Maarten;Proselyte Reef;3;2;0;3
2016;July;28;MM;St Maarten;Proselyte Reef;3;2;2;5
2016;July;28;MM;St Maarten;Proselyte Reef;3;2;0.5;3
2016;July;28;MM;St Maarten;Proselyte Reef;3;3;1;1
2016;July;28;MM;St Maarten;Proselyte Reef;3;3;0;0
2016;July;28;MM;St Maarten;Proselyte Reef;3;3;1;5
2016;July;28;MM;St Maarten;Proselyte Reef;3;3;0;0
2016;July;28;MM;St Maarten;Proselyte Reef;3;4;0;0
2016;July;28;MM;St Maarten;Proselyte Reef;3;4;0;0
2016;July;28;MM;St Maarten;Proselyte Reef;3;4;1;2
2016;July;28;MM;St Maarten;Proselyte Reef;3;4;0;0
2016;July;28;MM;St Maarten;Proselyte Reef;3;5;1;2
2016;July;28;MM;St Maarten;Proselyte Reef;3;5;0.5;5
2016;July;28;MM;St Maarten;Proselyte Reef;3;5;0.5;2
2016;July;28;MM;St Maarten;Proselyte Reef;3;5;0.5;0
2016;July;29;MM;St Maarten;Long Bay Reef;1;1;1;0
2016;July;29;MM;St Maarten;Long Bay Reef;1;1;4;0
2016;July;29;MM;St Maarten;Long Bay Reef;1;1;5;0
2016;July;29;MM;St Maarten;Long Bay Reef;1;1;3;0
2016;July;29;MM;St Maarten;Long Bay Reef;1;2;1;0
2016;July;29;MM;St Maarten;Long Bay Reef;1;2;4;0
2016;July;29;MM;St Maarten;Long Bay Reef;1;2;5;0
2016;July;29;MM;St Maarten;Long Bay Reef;1;2;1;0
2016;July;29;MM;St Maarten;Long Bay Reef;1;3;1;0
2016;July;29;MM;St Maarten;Long Bay Reef;1;3;5;0
2016;July;29;MM;St Maarten;Long Bay Reef;1;3;2;0
2016;July;29;MM;St Maarten;Long Bay Reef;1;3;8;0
2016;July;29;MM;St Maarten;Long Bay Reef;1;4;1;0
2016;July;29;MM;St Maarten;Long Bay Reef;1;4;6;0
2016;July;29;MM;St Maarten;Long Bay Reef;1;4;2;0
2016;July;29;MM;St Maarten;Long Bay Reef;1;4;0;0
2016;July;29;MM;St Maarten;Long Bay Reef;1;5;2;10
2016;July;29;MM;St Maarten;Long Bay Reef;1;5;0;5
2016;July;29;MM;St Maarten;Long Bay Reef;1;5;3;2
2016;July;29;MM;St Maarten;Long Bay Reef;1;5;0;10
2016;July;29;MM;St Maarten;Long Bay Reef;2;1;1;0
2016;July;29;MM;St Maarten;Long Bay Reef;2;1;1;0
2016;July;29;MM;St Maarten;Long Bay Reef;2;1;0;0
2016;July;29;MM;St Maarten;Long Bay Reef;2;1;0;0
2016;July;29;MM;St Maarten;Long Bay Reef;2;2;1;0
2016;July;29;MM;St Maarten;Long Bay Reef;2;2;0;0
2016;July;29;MM;St Maarten;Long Bay Reef;2;2;0;0
2016;July;29;MM;St Maarten;Long Bay Reef;2;2;0;0
2016;July;29;MM;St Maarten;Long Bay Reef;2;3;0;5
2016;July;29;MM;St Maarten;Long Bay Reef;2;3;1;0
2016;July;29;MM;St Maarten;Long Bay Reef;2;3;1;2
2016;July;29;MM;St Maarten;Long Bay Reef;2;3;1;2
2016;July;29;MM;St Maarten;Long Bay Reef;2;4;0;10
2016;July;29;MM;St Maarten;Long Bay Reef;2;4;0;3
2016;July;29;MM;St Maarten;Long Bay Reef;2;4;0;4
2016;July;29;MM;St Maarten;Long Bay Reef;2;4;0;3
2016;July;29;MM;St Maarten;Long Bay Reef;2;5;5;0
2016;July;29;MM;St Maarten;Long Bay Reef;2;5;2;0
2016;July;29;MM;St Maarten;Long Bay Reef;2;5;0;0
2016;July;29;MM;St Maarten;Long Bay Reef;2;5;2;0
2016;July;29;MM;St Maarten;Long Bay Reef;3;1;2;0
2016;July;29;MM;St Maarten;Long Bay Reef;3;1;2.5;0
2016;July;29;MM;St Maarten;Long Bay Reef;3;1;1;0
2016;July;29;MM;St Maarten;Long Bay Reef;3;1;2;0
2016;July;29;MM;St Maarten;Long Bay Reef;3;2;4;0
2016;July;29;MM;St Maarten;Long Bay Reef;3;2;0;0
2016;July;29;MM;St Maarten;Long Bay Reef;3;2;5;0
2016;July;29;MM;St Maarten;Long Bay Reef;3;2;1;0
2016;July;29;MM;St Maarten;Long Bay Reef;3;3;0;0
2016;July;29;MM;St Maarten;Long Bay Reef;3;3;0;0
2016;July;29;MM;St Maarten;Long Bay Reef;3;3;1;0
2016;July;29;MM;St Maarten;Long Bay Reef;3;3;0;0
2016;July;29;MM;St Maarten;Long Bay Reef;3;4;3;0
2016;July;29;MM;St Maarten;Long Bay Reef;3;4;0;0
2016;July;29;MM;St Maarten;Long Bay Reef;3;4;1;0
2016;July;29;MM;St Maarten;Long Bay Reef;3;4;3;0
2016;July;29;MM;St Maarten;Long Bay Reef;3;5;5;0
2016;July;29;MM;St Maarten;Long Bay Reef;3;5;8;0
2016;July;29;MM;St Maarten;Long Bay Reef;3;5;0;0
2016;July;29;MM;St Maarten;Long Bay Reef;3;5;2;0
2016;August;8;MM;St Maarten;Shark Hotel;1;1;1.5;0
2016;August;8;MM;St Maarten;Shark Hotel;1;1;0.5;0
2016;August;8;MM;St Maarten;Shark Hotel;1;1;0.5;0
2016;August;8;MM;St Maarten;Shark Hotel;1;1;0.5;0
2016;August;8;MM;St Maarten;Shark Hotel;1;2;0.5;5
2016;August;8;MM;St Maarten;Shark Hotel;1;2;1;0
2016;August;8;MM;St Maarten;Shark Hotel;1;2;0.5;0
2016;August;8;MM;St Maarten;Shark Hotel;1;2;1;0
2016;August;8;MM;St Maarten;Shark Hotel;1;3;1;0
2016;August;8;MM;St Maarten;Shark Hotel;1;3;0.5;2
2016;August;8;MM;St Maarten;Shark Hotel;1;3;0.5;2
2016;August;8;MM;St Maarten;Shark Hotel;1;3;1;0
2016;August;8;MM;St Maarten;Shark Hotel;1;4;1;0
2016;August;8;MM;St Maarten;Shark Hotel;1;4;2;0
2016;August;8;MM;St Maarten;Shark Hotel;1;4;2;0
2016;August;8;MM;St Maarten;Shark Hotel;1;4;1;0
2016;August;8;MM;St Maarten;Shark Hotel;1;5;2;10
2016;August;8;MM;St Maarten;Shark Hotel;1;5;1.5;5
2016;August;8;MM;St Maarten;Shark Hotel;1;5;1.5;5
2016;August;8;MM;St Maarten;Shark Hotel;1;5;1;5
2016;August;8;MM;St Maarten;Shark Hotel;2;1;0.5;2
2016;August;8;MM;St Maarten;Shark Hotel;2;1;0.5;0
2016;August;8;MM;St Maarten;Shark Hotel;2;1;0;10
2016;August;8;MM;St Maarten;Shark Hotel;2;1;0.5;0
2016;August;8;MM;St Maarten;Shark Hotel;2;2;1;0
2016;August;8;MM;St Maarten;Shark Hotel;2;2;0.5;1
2016;August;8;MM;St Maarten;Shark Hotel;2;2;0.5;2
2016;August;8;MM;St Maarten;Shark Hotel;2;2;1;0
2016;August;8;MM;St Maarten;Shark Hotel;2;3;0.5;5
2016;August;8;MM;St Maarten;Shark Hotel;2;3;0.5;0
2016;August;8;MM;St Maarten;Shark Hotel;2;3;0.5;0
2016;August;8;MM;St Maarten;Shark Hotel;2;3;1;0
2016;August;8;MM;St Maarten;Shark Hotel;2;4;1;0
2016;August;8;MM;St Maarten;Shark Hotel;2;4;2;0
2016;August;8;MM;St Maarten;Shark Hotel;2;4;0;0
2016;August;8;MM;St Maarten;Shark Hotel;2;4;1;0
2016;August;8;MM;St Maarten;Shark Hotel;2;5;0.5;0
2016;August;8;MM;St Maarten;Shark Hotel;2;5;1;0
2016;August;8;MM;St Maarten;Shark Hotel;2;5;0.5;0
2016;August;8;MM;St Maarten;Shark Hotel;2;5;0;0
2016;August;8;MM;St Maarten;Shark Hotel;3;1;0.5;3
2016;August;8;MM;St Maarten;Shark Hotel;3;1;1;0
2016;August;8;MM;St Maarten;Shark Hotel;3;1;0.5;0
2016;August;8;MM;St Maarten;Shark Hotel;3;1;1;0
2016;August;8;MM;St Maarten;Shark Hotel;3;2;0;2
2016;August;8;MM;St Maarten;Shark Hotel;3;2;0.5;0
2016;August;8;MM;St Maarten;Shark Hotel;3;2;0.5;0
2016;August;8;MM;St Maarten;Shark Hotel;3;2;0;0
2016;August;8;MM;St Maarten;Shark Hotel;3;3;0;1
2016;August;8;MM;St Maarten;Shark Hotel;3;3;0;0
2016;August;8;MM;St Maarten;Shark Hotel;3;3;0.5;0
2016;August;8;MM;St Maarten;Shark Hotel;3;3;0;1
2016;August;8;MM;St Maarten;Shark Hotel;3;4;0;3
2016;August;8;MM;St Maarten;Shark Hotel;3;4;0.5;0
2016;August;8;MM;St Maarten;Shark Hotel;3;4;0;0
2016;August;8;MM;St Maarten;Shark Hotel;3;4;0.5;0
2016;August;8;MM;St Maarten;Shark Hotel;3;5;0.5;0
2016;August;8;MM;St Maarten;Shark Hotel;3;5;0;0
2016;August;8;MM;St Maarten;Shark Hotel;3;5;0;0
2016;August;8;MM;St Maarten;Shark Hotel;3;5;0;0
2016;August;8;MM;St Maarten;Fish Bowl;1;1;0;0
2016;August;8;MM;St Maarten;Fish Bowl;1;1;0.5;0
2016;August;8;MM;St Maarten;Fish Bowl;1;1;0.5;0
2016;August;8;MM;St Maarten;Fish Bowl;1;1;0;0
2016;August;8;MM;St Maarten;Fish Bowl;1;2;0.5;3
2016;August;8;MM;St Maarten;Fish Bowl;1;2;0.5;0
2016;August;8;MM;St Maarten;Fish Bowl;1;2;0;0
2016;August;8;MM;St Maarten;Fish Bowl;1;2;0;0
2016;August;8;MM;St Maarten;Fish Bowl;1;3;1.5;0
2016;August;8;MM;St Maarten;Fish Bowl;1;3;0;0
2016;August;8;MM;St Maarten;Fish Bowl;1;3;0;0
2016;August;8;MM;St Maarten;Fish Bowl;1;3;0.5;0
2016;August;8;MM;St Maarten;Fish Bowl;1;4;0.5;3
2016;August;8;MM;St Maarten;Fish Bowl;1;4;0;0
2016;August;8;MM;St Maarten;Fish Bowl;1;4;0;0
2016;August;8;MM;St Maarten;Fish Bowl;1;4;0;0
2016;August;8;MM;St Maarten;Fish Bowl;1;5;1.5;0
2016;August;8;MM;St Maarten;Fish Bowl;1;5;0;0
2016;August;8;MM;St Maarten;Fish Bowl;1;5;1.5;0
2016;August;8;MM;St Maarten;Fish Bowl;1;5;0;0
2016;August;8;MM;St Maarten;Fish Bowl;2;1;0;2
2016;August;8;MM;St Maarten;Fish Bowl;2;1;0.5;3
2016;August;8;MM;St Maarten;Fish Bowl;2;1;0.5;0
2016;August;8;MM;St Maarten;Fish Bowl;2;1;0.5;0
2016;August;8;MM;St Maarten;Fish Bowl;2;2;2;0
2016;August;8;MM;St Maarten;Fish Bowl;2;2;0;0
2016;August;8;MM;St Maarten;Fish Bowl;2;2;0.5;0
2016;August;8;MM;St Maarten;Fish Bowl;2;2;0;0
2016;August;8;MM;St Maarten;Fish Bowl;2;3;0;0
2016;August;8;MM;St Maarten;Fish Bowl;2;3;0.5;0
2016;August;8;MM;St Maarten;Fish Bowl;2;3;0.5;0
2016;August;8;MM;St Maarten;Fish Bowl;2;3;0;0
2016;August;8;MM;St Maarten;Fish Bowl;2;4;2;0
2016;August;8;MM;St Maarten;Fish Bowl;2;4;0.5;0
2016;August;8;MM;St Maarten;Fish Bowl;2;4;0;0
2016;August;8;MM;St Maarten;Fish Bowl;2;4;1;0
2016;August;8;MM;St Maarten;Fish Bowl;2;5;0;0
2016;August;8;MM;St Maarten;Fish Bowl;2;5;1;0
2016;August;8;MM;St Maarten;Fish Bowl;2;5;1;0
2016;August;8;MM;St Maarten;Fish Bowl;2;5;0;0
2016;August;8;MM;St Maarten;Fish Bowl;3;1;1;0
2016;August;8;MM;St Maarten;Fish Bowl;3;1;0.5;0
2016;August;8;MM;St Maarten;Fish Bowl;3;1;0.5;0
2016;August;8;MM;St Maarten;Fish Bowl;3;1;0;0
2016;August;8;MM;St Maarten;Fish Bowl;3;2;0;2
2016;August;8;MM;St Maarten;Fish Bowl;3;2;0;2
2016;August;8;MM;St Maarten;Fish Bowl;3;2;0;0
2016;August;8;MM;St Maarten;Fish Bowl;3;2;0.5;0
2016;August;8;MM;St Maarten;Fish Bowl;3;3;0.5;1
2016;August;8;MM;St Maarten;Fish Bowl;3;3;0.5;0
2016;August;8;MM;St Maarten;Fish Bowl;3;3;0.5;0
2016;August;8;MM;St Maarten;Fish Bowl;3;3;0;0
2016;August;8;MM;St Maarten;Fish Bowl;3;4;0.5;3
2016;August;8;MM;St Maarten;Fish Bowl;3;4;0.5;0
2016;August;8;MM;St Maarten;Fish Bowl;3;4;0;0
2016;August;8;MM;St Maarten;Fish Bowl;3;4;0;0
2016;August;8;MM;St Maarten;Fish Bowl;3;5;0.5;0
2016;August;8;MM;St Maarten;Fish Bowl;3;5;0;0
2016;August;8;MM;St Maarten;Fish Bowl;3;5;0;0
2016;August;8;MM;St Maarten;Fish Bowl;3;5;0;0
2016;August;9;MM;St Maarten;Moonscape;1;1;0.5;0.5
2016;August;9;MM;St Maarten;Moonscape;1;1;0;10
2016;August;9;MM;St Maarten;Moonscape;1;1;0;10
2016;August;9;MM;St Maarten;Moonscape;1;1;0;5
2016;August;9;MM;St Maarten;Moonscape;1;2;0;0
2016;August;9;MM;St Maarten;Moonscape;1;2;3;2
2016;August;9;MM;St Maarten;Moonscape;1;2;0;0
2016;August;9;MM;St Maarten;Moonscape;1;2;2;0
2016;August;9;MM;St Maarten;Moonscape;1;3;4;2
2016;August;9;MM;St Maarten;Moonscape;1;3;3;1
2016;August;9;MM;St Maarten;Moonscape;1;3;0;0
2016;August;9;MM;St Maarten;Moonscape;1;3;0;0
2016;August;9;MM;St Maarten;Moonscape;1;4;0;0
2016;August;9;MM;St Maarten;Moonscape;1;4;0;0
2016;August;9;MM;St Maarten;Moonscape;1;4;2;0
2016;August;9;MM;St Maarten;Moonscape;1;4;0.2;0
2016;August;9;MM;St Maarten;Moonscape;1;5;0.5;4
2016;August;9;MM;St Maarten;Moonscape;1;5;3;0
2016;August;9;MM;St Maarten;Moonscape;1;5;2;2
2016;August;9;MM;St Maarten;Moonscape;1;5;1;0
2016;August;9;MM;St Maarten;Moonscape;2;1;4;2
2016;August;9;MM;St Maarten;Moonscape;2;1;1;2
2016;August;9;MM;St Maarten;Moonscape;2;1;0;2
2016;August;9;MM;St Maarten;Moonscape;2;1;6;2
2016;August;9;MM;St Maarten;Moonscape;2;2;0;2
2016;August;9;MM;St Maarten;Moonscape;2;2;0;2
2016;August;9;MM;St Maarten;Moonscape;2;2;0;2
2016;August;9;MM;St Maarten;Moonscape;2;2;0;2
2016;August;9;MM;St Maarten;Moonscape;2;3;0;5
2016;August;9;MM;St Maarten;Moonscape;2;3;0;8
2016;August;9;MM;St Maarten;Moonscape;2;3;0;8
2016;August;9;MM;St Maarten;Moonscape;2;3;0;1
2016;August;9;MM;St Maarten;Moonscape;2;4;0;2
2016;August;9;MM;St Maarten;Moonscape;2;4;0;2
2016;August;9;MM;St Maarten;Moonscape;2;4;0;1
2016;August;9;MM;St Maarten;Moonscape;2;4;0;2
2016;August;9;MM;St Maarten;Moonscape;2;5;3;5
2016;August;9;MM;St Maarten;Moonscape;2;5;2;5
2016;August;9;MM;St Maarten;Moonscape;2;5;0;2
2016;August;9;MM;St Maarten;Moonscape;2;5;0;0
2016;August;9;MM;St Maarten;Moonscape;3;1;3;0
2016;August;9;MM;St Maarten;Moonscape;3;1;0.5;0
2016;August;9;MM;St Maarten;Moonscape;3;1;3;0
2016;August;9;MM;St Maarten;Moonscape;3;1;4;0
2016;August;9;MM;St Maarten;Moonscape;3;2;4;0
2016;August;9;MM;St Maarten;Moonscape;3;2;2;0
2016;August;9;MM;St Maarten;Moonscape;3;2;6;0
2016;August;9;MM;St Maarten;Moonscape;3;2;0;0
2016;August;9;MM;St Maarten;Moonscape;3;3;1;0
2016;August;9;MM;St Maarten;Moonscape;3;3;3;0
2016;August;9;MM;St Maarten;Moonscape;3;3;2;0
2016;August;9;MM;St Maarten;Moonscape;3;3;7;0
2016;August;9;MM;St Maarten;Moonscape;3;4;4;0
2016;August;9;MM;St Maarten;Moonscape;3;4;6;0
2016;August;9;MM;St Maarten;Moonscape;3;4;2;0
2016;August;9;MM;St Maarten;Moonscape;3;4;1;0
2016;August;9;MM;St Maarten;Moonscape;3;5;4;20
2016;August;9;MM;St Maarten;Moonscape;3;5;3;10
2016;August;9;MM;St Maarten;Moonscape;3;5;4;20
2016;August;9;MM;St Maarten;Moonscape;3;5;2;5
2017;August;15;MM;St Maarten;Frenchman Reef;1;1;2;0.5
2017;August;15;MM;St Maarten;Frenchman Reef;1;1;2;0.5
2017;August;15;MM;St Maarten;Frenchman Reef;1;1;3;0.5
2017;August;15;MM;St Maarten;Frenchman Reef;1;1;2;0
